
Experiment 1
==========================
Number of Tournament : ,4
Payoffs : ,T = 5, R = 3, P = 1, S = 0
Uncertainty Level : ,1.0
Request Limit : ,Assigned
Simulation Leaderboard
------------------------
Agent 1,Advanced_C,29.0
 
Agent 8,Advanced_D,28.0
 
Agent 6,Naive_D,28.0
 
Agent 4,Advanced_C,26.0
 
Agent 5,Advanced_C,25.0
 
Agent 3,Advanced_C,25.0
 
Agent 2,Advanced_D,24.0
 

Experiment 2
==========================
Number of Tournament : ,4
Payoffs : ,T = 5, R = 3, P = 1, S = 0
Uncertainty Level : ,1.0
Request Limit : ,Assigned
Simulation Leaderboard
------------------------
Agent 6,Advanced_C,33.0
 
Agent 4,Advanced_D,32.0
 
Agent 3,Naive_D,32.0
 
Agent 2,Advanced_C,32.0
 
Agent 1,Advanced_D,32.0
 
Agent 8,Advanced_C,29.0
 
Agent 7,Advanced_C,29.0
 
Agent 5,Advanced_C,29.0
 
